name,lat,long
Doctors with Africa/ Collegio Universitario Aspiranti Emedici Missionari - Medici con L'Africa Onetherlandsus (CUAMM) angola,-8.821425893665024,13.244592514785124
Doctors with Africa/ Collegio Universitario Aspiranti Emedici Missionari - Medici con L'Africa Onetherlandsus (CUAMM) central african republic,37.599999999999994,-95.665
Doctors with Africa/ Collegio Universitario Aspiranti Emedici Missionari - Medici con L'Africa Onetherlandsus (CUAMM) ethiopia,37.599999999999994,-95.665
Doctors with Africa/ Collegio Universitario Aspiranti Emedici Missionari - Medici con L'Africa Onetherlandsus (CUAMM) sierra leone,8.465633593912873,-13.233955985217436
Doctors with Africa/ Collegio Universitario Aspiranti Emedici Missionari - Medici con L'Africa Onetherlandsus (CUAMM) south sudan,4.859238196471616,31.591285714762872
Dorcas Aid International ethiopia,9.002638693539188,38.79686791478641
Dorcas Aid International south sudan,7.70915829444295,27.981338414777554
Dutch Relief Alliance burkina faso,37.599999999999994,-95.665
Dutch Relief Alliance central african republic,6.5388709752696,11.890230990402648
Dutch Relief Alliance dr congo,37.599999999999994,-95.665
Dutch Relief Alliance ethiopia,37.599999999999994,-95.665
Dutch Relief Alliance nigeria,37.599999999999994,-95.665
Dutch Relief Alliance somalia,37.599999999999994,-95.665
Dutch Relief Alliance south sudan,4.760685496542513,31.744999414762574
Dutch Relief Alliance sudan,38.90408687956957,-77.03371728464951
Dutch Relief Alliance zambia,52.08418717973404,4.3037824157912405
Emergency - Life Support for Civilian War Victims sierra leone,37.599999999999994,-95.665
Emergency - Life Support for Civilian War Victims sudan,37.599999999999994,-95.665
Episcopal Relief and Development angola,40.75076827932762,-73.97415918459389
Episcopal Relief and Development dr congo,40.75076827932762,-73.97415918459389
Episcopal Relief and Development guinea,40.75076827932762,-73.97415918459389
Episcopal Relief and Development liberia,40.75076827932762,-73.97415918459389
Episcopal Relief and Development sierra leone,40.75076827932762,-73.97415918459389
Episcopal Relief and Development sudan,40.75076827932762,-73.97415918459389
Associazione Volontari per il Servizio Internazionale nigeria,37.6,-95.665
Associazione Volontari per il Servizio Internazionale sierra leone,8.436547946839143,-13.288932254161914
Associazione Volontari per il Servizio Internazionale somalia,5.2310274198806574,41.8058511088777
Associazione Volontari per il Servizio Internazionale south sudan,4.176036987309831,30.945976977911428
Ayuda en Acción ethiopia,9.008922594846316,38.764916946901046
Ayuda en Acción mali,13.5273862584681,-11.995784245095964
Ayuda en Acción niger,13.555111990387545,2.0718785219532445
BuildOn burkina faso,12.31764179128725,-1.5134685851847216
BuildOn mali,37.6,-95.665
BuildOn senegal,14.77083678969423,-16.95333938515772
Canadian Food Grains Bank burkina faso,37.6,-95.665
Canadian Food Grains Bank dr congo,49.89194237940224,-97.15004138428876
Canadian Food Grains Bank ethiopia,49.89194237940224,-97.15004138428876
Canadian Food Grains Bank liberia,6.30488695795855,-10.810212981836246
Canadian Food Grains Bank nigeria,9.217549781251346,3.6606990749547976
Canadian Food Grains Bank sierra leone,8.48525899389917,-13.239569285217224
Canadian Food Grains Bank somalia,37.6,-95.665
Canadian Food Grains Bank south sudan,4.859077196471745,31.579762914762984
Canadian Food Grains Bank zambia,-13.84619515513041,23.642128060236903
Catholic Agency for Overseas Development central african republic,37.6,-95.665
Catholic Agency for Overseas Development dr congo,37.6,-95.665
Catholic Agency for Overseas Development ethiopia,38.90292367956978,-77.0398108846495
Catholic Agency for Overseas Development liberia,6.28740255875536,-10.790235281842063
Catholic Agency for Overseas Development niger,13.510357590504036,2.133301314827796
Catholic Agency for Overseas Development nigeria,8.199577683159376,3.4744353015250287
Catholic Agency for Overseas Development sierra leone,8.47959000979449,-13.264947280987604
Catholic Agency for Overseas Development south sudan,4.856371896473692,31.600314014762883
Catholic Agency for Overseas Development sudan,10.179460169786664,27.58905032184811
Catholic Agency for Overseas Development zambia,-15.4174063143226,28.336665373365893
Catholic Organisation for Relief and Development Aid central african republic,37.6,-95.665
Catholic Organisation for Relief and Development Aid dr congo,-4.32179989685871,15.279332114760903
Catholic Organisation for Relief and Development Aid ethiopia,8.989869198231082,38.734653296864565
Catholic Organisation for Relief and Development Aid mali,12.62935236432415,-8.034230775615793
Catholic Organisation for Relief and Development Aid nigeria,7.768345607345373,6.351805375919411
Catholic Organisation for Relief and Development Aid sierra leone,8.46778996032158,-13.27069768099288
Catholic Organisation for Relief and Development Aid south sudan,4.856371896473692,31.600314014762883
Catholic Organisation for Relief and Development Aid sudan,15.56411898919468,32.56897341485204
Catholic Organisation for Relief and Development Aid zambia,37.6,-95.665
Catholic Relief Services angola,39.24905714535993,-76.8913864892651
Catholic Relief Services burkina faso,12.3668569912547,-1.5455633851842303
Catholic Relief Services central african republic,39.24905714535993,-76.8913864892651
Catholic Relief Services chad,39.29167367951172,-76.62113598463799
Catholic Relief Services cote d ivoire,39.24905714535993,-76.8913864892651
Catholic Relief Services dr congo,34.84249218873,-95.69649717274984
Catholic Relief Services djibouti,39.29167367951172,-76.62113598463799
Catholic Relief Services eritrea,39.24905714535993,-76.8913864892651
Catholic Relief Services ethiopia,9.048246293507528,38.7348959147867
Catholic Relief Services guinea,34.84249218873,-95.69649717274984
Catholic Relief Services liberia,6.2899378954476,-10.777665785230557
Catholic Relief Services mali,12.635635491076926,-8.03108478518148
Catholic Relief Services mauritania,39.24905714535993,-76.8913864892651
Catholic Relief Services niger,34.84249218873,-95.69649717274984
Catholic Relief Services nigeria,9.083760395725491,7.423041727242666
Catholic Relief Services senegal,14.66658388976049,-17.44149503515899
Catholic Relief Services sierra leone,8.479389739183084,-13.26544570408474
Catholic Relief Services south sudan,34.84249218873,-95.69649717274984
Catholic Relief Services sudan,39.24905714535993,-76.8913864892651
Catholic Relief Services zambia,34.84249218873,-95.69649717274984
"Children's Hunger Relief Fund, Inc. burkina faso",39.0827577795425,-77.55723438464418
"Children's Hunger Relief Fund, Inc. ethiopia",39.0827577795425,-77.55723438464418
"Children's Hunger Relief Fund, Inc. liberia",39.0827577795425,-77.55723438464418
"Children's Hunger Relief Fund, Inc. sierra leone",39.0827577795425,-77.55723438464418
"Children's Hunger Relief Fund, Inc. somalia",39.0827577795425,-77.55723438464418
"Children's Hunger Relief Fund, Inc. sudan",38.90663827956922,-77.06605538464935
Christian Aid angola,37.6,-95.665
Christian Aid burkina faso,12.3370622915519,-1.5243303288743322
Christian Aid dr congo,38.08624237970397,-78.47267558467337
Christian Aid ethiopia,38.08624237970397,-78.47267558467337
Christian Aid mali,38.08624237970397,-78.47267558467337
Christian Aid nigeria,9.070698693491932,7.43061771478695
Christian Aid senegal,38.08624237970397,-78.47267558467337
Christian Aid sierra leone,8.47158791015192,-13.269724880991188
Christian Aid south sudan,4.856670624298129,31.56740371773656
Christian Aid zambia,38.08624237970397,-78.47267558467337
Christian Blind Mission International angola,37.6,-95.665
Christian Blind Mission International burkina faso,12.33676839127459,-1.503480085184547
Christian Blind Mission International central african republic,39.10883687953861,-76.9284931846434
Christian Blind Mission International chad,37.6,-95.665
Christian Blind Mission International cote d ivoire,5.347694996120869,-3.980409685235002
Christian Blind Mission International dr congo,37.6,-95.665
Christian Blind Mission International djibouti,37.6,-95.665
Christian Blind Mission International eritrea,37.6,-95.665
Christian Blind Mission International ethiopia,37.6,-95.665
Christian Blind Mission International guinea,37.6,-95.665
Christian Blind Mission International niger,37.6,-95.665
Christian Blind Mission International nigeria,6.532292447605101,3.3102740682408576
Christian Blind Mission International sierra leone,37.6,-95.665
Christian Blind Mission International sudan,37.6,-95.665
Christian Blind Mission International zambia,-15.42890618927929,28.34528281485031
Christian Relief Services ethiopia,38.73258597959641,-77.10254358465453
Christian Relief Services sierra leone,38.73258597959641,-77.10254358465453
"CitiHope International, Inc. ethiopia",38.89334737957122,-77.18894958464973
Civil Voluntary Group/Gruppo di Volontariato Civile- We World burkina faso,12.37858253979077,-1.5142665788473777
Civil Voluntary Group/Gruppo di Volontariato Civile- We World mali,12.663245091058704,-7.916537285181258
