name,status,shortname,homepage,url
SBM Intelligence,active,SBM Intelligence,http://sbmintel.com/,https://reliefweb.int/taxonomy/term/40713
Nigerian Red Cross Society,active,Nigerian Red Cross Society,http://www.redcrossnigeria.org/home.html,https://reliefweb.int/taxonomy/term/39604
Nigeria INGO Forum,active,NIF,https://ingoforum.ng/,https://reliefweb.int/taxonomy/term/23641
Christian Rural and Urban Development Association of Nigeria,active,CRUDAN,http://crudan.org,https://reliefweb.int/taxonomy/term/15485
Association for Reproductive and Family Health,active,ARFH,http://www.arfh-ng.org/,https://reliefweb.int/taxonomy/term/14742
International Institute of Tropical Agriculture,active,IITA,http://www.iita.org/,https://reliefweb.int/taxonomy/term/4097
Forum des ONGI en RDC,active,Forum ONGI RDC,https://www.forumongi-rdc.org/,https://reliefweb.int/taxonomy/term/51081
The investigative support team to the Independent Commission on Allegations of Sexual Exploitation and Abuse in the Democratic Republic of the Congo during the Response to the 10th Ebola Outbreak,active,The investigative support team to the Independent Commission on Allegations of Sexual Exploitation and Abuse in the Democratic Republic of the Congo during the Response to the 10th Ebola Outbreak,http://www.independentsupport.org/,https://reliefweb.int/taxonomy/term/50729
HEAL Africa,active,HEAL Africa,http://www.healafrica.org/,https://reliefweb.int/taxonomy/term/9444
UN Organization Stabilization Mission in the Democratic Republic of the Congo,active,MONUSCO,https://monusco.unmissions.org/,https://reliefweb.int/taxonomy/term/4316
UN Country Team in DR Congo,active,UNCT DRC,https://drcongo.un.org/,https://reliefweb.int/taxonomy/term/2782
Radio Okapi,active,Radio Okapi,http://www.radiookapi.net,https://reliefweb.int/taxonomy/term/2519
Civil Society of the Democratic Republic of Congo,active,CSDRC,,https://reliefweb.int/taxonomy/term/686
UN Resident Coordinator in Angola,active,UN RC Angola,https://angola.un.org/pt/about/about-the-resident-coordinator-office,https://reliefweb.int/taxonomy/term/22331
UN Country Team in Angola,active,UNCT Angola,https://angola.un.org/pt,https://reliefweb.int/taxonomy/term/3732
National Catholic Health Council,active,NCHC,https://cabicol.org/department/2,https://reliefweb.int/taxonomy/term/51626
UN Resident Coordinator in Liberia,active,UN RC Liberia,https://liberia.un.org/en/about/about-the-resident-coordinator-office,https://reliefweb.int/taxonomy/term/22426
Liberian Red Cross Society,active,Liberian Red Cross,https://lnrcs.org.lr/,https://reliefweb.int/taxonomy/term/4033
Last Mile Health,active,LMH,http://lastmilehealth.org,https://reliefweb.int/taxonomy/term/3348
UN Country Team in Liberia,active,UNCT Liberia,https://liberia.un.org/en,https://reliefweb.int/taxonomy/term/2080
UN Country Team in Djibouti,active,UNCT Djibouti,https://djibouti.un.org/fr,https://reliefweb.int/taxonomy/term/2023
Intergovernmental Authority on Development,active,IGAD,http://www.igad.org,https://reliefweb.int/taxonomy/term/1270
UN Resident and Humanitarian Coordinator in Eritrea,active,UN RC/HC Eritrea,https://eritrea.un.org/en/about/about-the-resident-coordinator-office,https://reliefweb.int/taxonomy/term/22386
UN Country Team in Eritrea,active,UNCT Eritrea,https://eritrea.un.org/en,https://reliefweb.int/taxonomy/term/1509
Eritrean Development Foundation,active,EDF,http://www.edfonline.org/,https://reliefweb.int/taxonomy/term/601
Africa Centres for Disease Control and Prevention,active,Africa CDC,https://africacdc.org/,https://reliefweb.int/taxonomy/term/50373
UN Resident and Humanitarian Coordinator in Ethiopia,active,UN RC/HC Ethiopia,https://ethiopia.un.org/en/about/about-the-resident-coordinator-office,https://reliefweb.int/taxonomy/term/22381
Ethiopian Red Cross Society,active,Ethiopian Red Cross Society,http://www.redcrosseth.org/,https://reliefweb.int/taxonomy/term/17991
African Society for Laboratory Medicine,active,ASLM,http://www.aslm.org/,https://reliefweb.int/taxonomy/term/10260
Institute for Peace and Security Studies,active,IPSS,http://www.ipss-addis.org,https://reliefweb.int/taxonomy/term/4307
UN Office to the African Union,active,UNOAU,https://unoau.unmissions.org/,https://reliefweb.int/taxonomy/term/4205
African Child Policy Forum,active,ACPF,http://www.africanchildforum.org/,https://reliefweb.int/taxonomy/term/2392
UN Economic Commission for Africa,active,ECA,http://www.uneca.org/,https://reliefweb.int/taxonomy/term/1522
UN Country Team in Ethiopia,active,UNCT Ethiopia,https://ethiopia.un.org/en,https://reliefweb.int/taxonomy/term/1399
Ogaden Welfare Society,active,OWS,http://www.ogaden.com/,https://reliefweb.int/taxonomy/term/1117
Sudan INGO Forum,active,Sudan INGO,https://www.linkedin.com/company/sudan-ingo-forum/,https://reliefweb.int/taxonomy/term/51584
UN Integrated Transition Assistance Mission in Sudan,active,UNITAMS,https://unitams.unmissions.org/en,https://reliefweb.int/taxonomy/term/50639
UN Interim Security Force for Abyei,active,UNISFA,https://unisfa.unmissions.org/,https://reliefweb.int/taxonomy/term/21616
Arab Bank for Economic Development in Africa,active,BADEA,http://www.badea.org/,https://reliefweb.int/taxonomy/term/4008
Radio Dabanga,active,Radio Dabanga,http://www.dabangasudan.org/en,https://reliefweb.int/taxonomy/term/3967
UN Resident Coordinator in Sudan,active,UN RC Sudan,https://sudan.un.org/en/about/about-the-resident-coordinator-office,https://reliefweb.int/taxonomy/term/3874
Sudanese Red Crescent Society,active,Sudanese Red Crescent,https://srcs.sd/?lang=en,https://reliefweb.int/taxonomy/term/3850
UN Country Team in Sudan,active,UNCT Sudan,https://sudan.un.org/en,https://reliefweb.int/taxonomy/term/2172
