"","ID","ADM0_NAME","ADM0_CODE","Admin1","ADM1_CODE","ADM2_NAME","ADM2_CODE","year","age_group_id","age_group_name","sex_id","sex","measure_id","measure","mean","lower","upper"
"152","Somalia_Cadale","Somalia",203,"Shabeellaha Dhexe",14203,"Cadale",3014203,2017,28,"Infant",3,"Both",27,"Probability of death",0.073,0.0441550834310133,0.111593571474196
"153","Central African Republic_Bouca","Central African Republic",39,"Ouham",15039,"Bouca",3015039,2017,28,"Infant",3,"Both",27,"Probability of death",0.081,0.0540634781568003,0.1170129471776
"154","Somalia_Kuntuwaaray","Somalia",203,"Shabeellaha Hoose",15203,"Kuntuwaaray",3015203,2017,28,"Infant",3,"Both",27,"Probability of death",0.082,0.0522251226083173,0.129106442113292
"155","Somalia_Oodweyne","Somalia",203,"Togdheer",17203,"Oodweyne",3017203,2017,28,"Infant",3,"Both",27,"Probability of death",0.071,0.0453237929141158,0.103557189307224
"156","Nigeria_Giwa","Nigeria",164,"Kaduna",19164,"Giwa",3019164,2017,28,"Infant",3,"Both",27,"Probability of death",0.073,0.0564171340884801,0.0916331109269809
"157","Nigeria_Bagwai","Nigeria",164,"Kano",20164,"Bagwai",3020164,2017,28,"Infant",3,"Both",27,"Probability of death",0.093,0.074468496797742,0.115668044729465
"158","Chad_Tandjilé Ouest","Chad",217,"Tandjilé",20217,"Tandjilé Ouest",3020217,2017,28,"Infant",3,"Both",27,"Probability of death",0.077,0.0599092569633541,0.0996445066966228
"159","Nigeria_Batsari","Nigeria",164,"Katsina",21164,"Batsari",3021164,2017,28,"Infant",3,"Both",27,"Probability of death",0.079,0.0613816835836123,0.0980896878131372
"160","Nigeria_Argungu","Nigeria",164,"Kebbi",22164,"Argungu",3022164,2017,28,"Infant",3,"Both",27,"Probability of death",0.071,0.0563183863880144,0.0868029441423924
"161","Nigeria_Doma","Nigeria",164,"Nassarawa",26164,"Doma",3026164,2017,28,"Infant",3,"Both",27,"Probability of death",0.073,0.0571268601048331,0.0904568886858994
"162","Nigeria_Dange-Shuni","Nigeria",164,"Sokoto",34164,"Dange-Shuni",3034164,2017,28,"Infant",3,"Both",27,"Probability of death",0.082,0.0647156295101082,0.102239315257475
"163","Nigeria_Birnin-Magaji/Kiyaw","Nigeria",164,"Zamfara",37164,"Birnin-Magaji/Kiyaw",3037164,2017,28,"Infant",3,"Both",27,"Probability of death",0.095,0.0765500880574588,0.119812462641335
"164","South Sudan_Terkaka","South Sudan",206,"Central Equatoria",1206,"Terkaka",4001206,2017,28,"Infant",3,"Both",27,"Probability of death",0.083,0.0582552441024898,0.1175898732797
"165","Angola_Bocoio","Angola",3,"Benguela",2003,"Bocoio",4002003,2017,28,"Infant",3,"Both",27,"Probability of death",0.087,0.0654282247052372,0.110937637241371
"166","Sierra Leone_Port Loko","Sierra Leone",200,"Northern",2200,"Port Loko",4002200,2017,28,"Infant",3,"Both",27,"Probability of death",0.074,0.0616209246362272,0.0869307091740925
"167","Central African Republic_Mobaye","Central African Republic",39,"Basse-Kotto",3039,"Mobaye",4003039,2017,28,"Infant",3,"Both",27,"Probability of death",0.09,0.0613188936369605,0.132259377692162
"168","Guinea_Kissidougou","Guinea",85,"Faranah",3085,"Kissidougou",4003085,2017,28,"Infant",3,"Both",27,"Probability of death",0.072,0.0555665564727048,0.090281892514753
"169","Mali_Kéniéba","Mali",146,"Kayes",3146,"Kéniéba",4003146,2017,28,"Infant",3,"Both",27,"Probability of death",0.081,0.0634514682227896,0.102029969706601
"170","Sierra Leone_Pujehun","Sierra Leone",200,"Southern",3200,"Pujehun",4003200,2017,28,"Infant",3,"Both",27,"Probability of death",0.082,0.0663104760729092,0.100734360359954
"171","Guinea_Mandiana","Guinea",85,"Kankan",4085,"Mandiana",4004085,2017,28,"Infant",3,"Both",27,"Probability of death",0.071,0.0518626834203604,0.0897568032680891
"172","Liberia_Porkpa","Liberia",127,"Grand Cape Mount",4127,"Porkpa",4004127,2017,28,"Infant",3,"Both",27,"Probability of death",0.071,0.0575292358432982,0.0871258793817121
