name,status,shortname,homepage,url,lat,long
Lake Chad Basin Commission,active,LCBC,https://cblt.org/,https://reliefweb.int/taxonomy/term/51660,12.11693589142057,15.030853614813298
Croix-Rouge du Tchad,active,Croix-Rouge du Tchad,http://croixrougedutchad.org/,https://reliefweb.int/taxonomy/term/47404,12.11434600101914,15.049196720982632
UN Resident and Humanitarian Coordinator in Chad,active,UN RC/HC Chad,https://chad.un.org/fr/about/about-the-resident-coordinator-office,https://reliefweb.int/taxonomy/term/12223,37.599999999999994,-95.665
UN Country Team in Chad,active,UNCT Chad,https://chad.un.org/fr,https://reliefweb.int/taxonomy/term/2636,37.599999999999994,-95.665
UN Resident Coordinator in Zambia,active,UN RC Zambia,https://zambia.un.org/en/about/about-the-resident-coordinator-office,https://reliefweb.int/taxonomy/term/22471,-15.3719990303844,28.200704141513018
Common Market for Eastern and Southern Africa,active,COMESA,http://www.comesa.int/,https://reliefweb.int/taxonomy/term/4384,-15.4253463892814,28.279346214850285
UN Country Team in Zambia,active,UNCT Zambia,https://zambia.un.org/en,https://reliefweb.int/taxonomy/term/3273,37.599999999999994,-95.665
Zambia Red Cross Society,active,Zambia Red Cross,https://www.redcross.org.zm/,https://reliefweb.int/taxonomy/term/2555,-14.78448980694239,22.737324165729508
UN Country Team in Nigeria,active,UNCT Nigeria,https://nigeria.un.org/,https://reliefweb.int/taxonomy/term/50783,37.599999999999994,-95.665
Idmibok International,active,Idmibok International,https://www.idmibokint.org,https://reliefweb.int/taxonomy/term/50289,9.085977093481313,7.457214014787045
UN Resident and Humanitarian Coordinator in Nigeria,active,UN RC/HC Nigeria,https://nigeria.un.org/en/about/about-the-resident-coordinator-office,https://reliefweb.int/taxonomy/term/43784,37.599999999999994,-95.665
SBM Intelligence,active,SBM Intelligence,http://sbmintel.com/,https://reliefweb.int/taxonomy/term/40713,37.599999999999994,-95.665
Nigerian Red Cross Society,active,Nigerian Red Cross Society,http://www.redcrossnigeria.org/home.html,https://reliefweb.int/taxonomy/term/39604,8.877989268143393,3.176175665291793
Nigeria INGO Forum,active,NIF,https://ingoforum.ng/,https://reliefweb.int/taxonomy/term/23641,9.027698293521738,7.483645914786593
Christian Rural and Urban Development Association of Nigeria,active,CRUDAN,http://crudan.org,https://reliefweb.int/taxonomy/term/15485,9.827315092969704,8.858501014792811
Association for Reproductive and Family Health,active,ARFH,http://www.arfh-ng.org/,https://reliefweb.int/taxonomy/term/14742,38.9033828795698,-77.03541558464946
International Institute of Tropical Agriculture,active,IITA,http://www.iita.org/,https://reliefweb.int/taxonomy/term/4097,8.558134363602436,3.091119521179951
Forum des ONGI en RDC,active,Forum ONGI RDC,https://www.forumongi-rdc.org/,https://reliefweb.int/taxonomy/term/51081,37.599999999999994,-95.665
The investigative support team to the Independent Commission on Allegations of Sexual Exploitation and Abuse in the Democratic Republic of the Congo during the Response to the 10th Ebola Outbreak,active,The investigative support team to the Independent Commission on Allegations of Sexual Exploitation and Abuse in the Democratic Republic of the Congo during the Response to the 10th Ebola Outbreak,http://www.independentsupport.org/,https://reliefweb.int/taxonomy/term/50729,37.599999999999994,-95.665
HEAL Africa,active,HEAL Africa,http://www.healafrica.org/,https://reliefweb.int/taxonomy/term/9444,8.4505482,-21.98934285
UN Organization Stabilization Mission in the Democratic Republic of the Congo,active,MONUSCO,https://monusco.unmissions.org/,https://reliefweb.int/taxonomy/term/4316,37.599999999999994,-95.665
UN Country Team in DR Congo,active,UNCT DRC,https://drcongo.un.org/,https://reliefweb.int/taxonomy/term/2782,-3.983493603145,12.682395209170108
Radio Okapi,active,Radio Okapi,http://www.radiookapi.net,https://reliefweb.int/taxonomy/term/2519,-2.12894601543986,14.518991979029346
Civil Society of the Democratic Republic of Congo,active,CSDRC,,https://reliefweb.int/taxonomy/term/686,-4.328563596853836,15.274323114760941
UN Resident Coordinator in Angola,active,UN RC Angola,https://angola.un.org/pt/about/about-the-resident-coordinator-office,https://reliefweb.int/taxonomy/term/22331,-8.886456093619795,13.1790590147856
UN Country Team in Angola,active,UNCT Angola,https://angola.un.org/pt,https://reliefweb.int/taxonomy/term/3732,-11.077670984738434,8.735675685374
National Catholic Health Council,active,NCHC,https://cabicol.org/department/2,https://reliefweb.int/taxonomy/term/51626,38.90533907956943,-77.04199378464943
UN Resident Coordinator in Liberia,active,UN RC Liberia,https://liberia.un.org/en/about/about-the-resident-coordinator-office,https://reliefweb.int/taxonomy/term/22426,6.27390119965424,-10.819348496930383
Liberian Red Cross Society,active,Liberian Red Cross,https://lnrcs.org.lr/,https://reliefweb.int/taxonomy/term/4033,6.313063895431117,-10.805958585230421
Last Mile Health,active,LMH,http://lastmilehealth.org,https://reliefweb.int/taxonomy/term/3348,42.344964779187876,-71.08491448454414
UN Country Team in Liberia,active,UNCT Liberia,https://liberia.un.org/en,https://reliefweb.int/taxonomy/term/2080,37.599999999999994,-95.665
UN Country Team in Djibouti,active,UNCT Djibouti,https://djibouti.un.org/fr,https://reliefweb.int/taxonomy/term/2023,11.5990227230506,43.12681527066151
